Bracket,Year,burden_category,County,value
40.0 to 49.9 percent,2023,burdened,Hillsborough County,23145
50.0 percent or more,2023,burdened,Hillsborough County,67234
Not computed,2023,not_computed,Hillsborough County,11652
Total,2024,,Hillsborough County,234064
Less than 10.0 percent,2024,not_burdened,Hillsborough County,4749
10.0 to 14.9 percent,2024,not_burdened,Hillsborough County,9474
15.0 to 19.9 percent,2024,not_burdened,Hillsborough County,17183
20.0 to 24.9 percent,2024,not_burdened,Hillsborough County,26186
25.0 to 29.9 percent,2024,not_burdened,Hillsborough County,27113
30.0 to 34.9 percent,2024,burdened,Hillsborough County,24480
35.0 to 39.9 percent,2024,burdened,Hillsborough County,15541
40.0 to 49.9 percent,2024,burdened,Hillsborough County,26908
50.0 percent or more,2024,burdened,Hillsborough County,70796
Not computed,2024,not_computed,Hillsborough County,11634
Total,2014,,Pasco County,52132
Less than 10.0 percent,2014,not_burdened,Pasco County,1013
10.0 to 14.9 percent,2014,not_burdened,Pasco County,3767
15.0 to 19.9 percent,2014,not_burdened,Pasco County,4739
20.0 to 24.9 percent,2014,not_burdened,Pasco County,6783
25.0 to 29.9 percent,2014,not_burdened,Pasco County,5971
30.0 to 34.9 percent,2014,burdened,Pasco County,4498
35.0 to 39.9 percent,2014,burdened,Pasco County,3247
40.0 to 49.9 percent,2014,burdened,Pasco County,5621
50.0 percent or more,2014,burdened,Pasco County,12643
Not computed,2014,not_computed,Pasco County,3850
Total,2015,,Pasco County,57800
Less than 10.0 percent,2015,not_burdened,Pasco County,929
10.0 to 14.9 percent,2015,not_burdened,Pasco County,3931
15.0 to 19.9 percent,2015,not_burdened,Pasco County,6873
20.0 to 24.9 percent,2015,not_burdened,Pasco County,6816
25.0 to 29.9 percent,2015,not_burdened,Pasco County,6200
30.0 to 34.9 percent,2015,burdened,Pasco County,4286
35.0 to 39.9 percent,2015,burdened,Pasco County,5018
40.0 to 49.9 percent,2015,burdened,Pasco County,5841
50.0 percent or more,2015,burdened,Pasco County,12801
Not computed,2015,not_computed,Pasco County,5105
Total,2016,,Pasco County,55068
Less than 10.0 percent,2016,not_burdened,Pasco County,1085
10.0 to 14.9 percent,2016,not_burdened,Pasco County,3824
