"Label (Grouping)","Hillsborough County, Florida!!Estimate","Hillsborough County, Florida!!Margin of Error","Pasco County, Florida!!Estimate","Pasco County, Florida!!Margin of Error","Pinellas County, Florida!!Estimate","Pinellas County, Florida!!Margin of Error","Polk County, Florida!!Estimate","Polk County, Florida!!Margin of Error"
"Total:","219,239","±6,339","61,744","±3,736","133,220","±4,740","75,098","±4,521"
"    Less than 10.0 percent","5,426","±1,116","1,823","±751","3,861","±1,063","1,257","±559"
"    10.0 to 14.9 percent","14,038","±1,972","4,624","±1,344","8,508","±1,693","5,711","±1,398"
"    15.0 to 19.9 percent","24,081","±2,849","8,325","±1,599","14,651","±2,372","8,341","±1,760"
"    20.0 to 24.9 percent","26,137","±3,125","7,481","±1,385","15,482","±2,258","8,388","±1,851"
"    25.0 to 29.9 percent","25,943","±2,955","5,953","±1,165","15,499","±2,157","10,954","±1,854"
"    30.0 to 34.9 percent","20,906","±2,956","4,942","±1,023","11,757","±1,707","5,700","±1,453"
"    35.0 to 39.9 percent","13,153","±2,028","4,268","±801","9,605","±1,599","5,369","±1,336"
"    40.0 to 49.9 percent","19,565","±2,621","5,425","±1,145","12,657","±2,181","6,837","±1,529"
"    50.0 percent or more","55,801","±4,131","14,680","±2,118","34,223","±2,911","17,172","±2,392"
"    Not computed","14,189","±1,946","4,223","±1,260","6,977","±1,134","5,369","±1,282"
