"Label (Grouping)","Hillsborough County, Florida!!Estimate","Hillsborough County, Florida!!Margin of Error","Pasco County, Florida!!Estimate","Pasco County, Florida!!Margin of Error","Pinellas County, Florida!!Estimate","Pinellas County, Florida!!Margin of Error","Polk County, Florida!!Estimate","Polk County, Florida!!Margin of Error"
"Total:","226,280","±4,447","53,804","±3,370","134,550","±5,042","73,224","±3,807"
"    Less than 10.0 percent","5,609","±1,547","1,839","±638","2,577","±885","1,950","±720"
"    10.0 to 14.9 percent","13,676","±2,175","3,709","±1,029","9,147","±1,738","5,446","±1,454"
"    15.0 to 19.9 percent","26,003","±2,657","5,488","±1,030","11,189","±1,745","10,318","±1,822"
"    20.0 to 24.9 percent","28,972","±3,308","7,504","±1,439","17,424","±2,586","9,327","±1,570"
"    25.0 to 29.9 percent","26,254","±2,742","6,229","±1,292","18,440","±2,632","9,291","±1,659"
"    30.0 to 34.9 percent","19,791","±2,236","4,810","±1,253","13,145","±2,006","6,767","±1,613"
"    35.0 to 39.9 percent","16,059","±2,453","4,353","±1,265","8,198","±1,863","4,788","±1,237"
"    40.0 to 49.9 percent","21,092","±3,239","4,994","±1,272","14,357","±2,238","5,687","±1,333"
"    50.0 percent or more","56,506","±4,509","11,775","±1,692","32,211","±3,248","13,912","±1,981"
"    Not computed","12,318","±1,934","3,103","±798","7,862","±1,650","5,738","±1,474"
