"Label (Grouping)","Hillsborough County, Florida!!Estimate","Hillsborough County, Florida!!Margin of Error","Pasco County, Florida!!Estimate","Pasco County, Florida!!Margin of Error","Pinellas County, Florida!!Estimate","Pinellas County, Florida!!Margin of Error","Polk County, Florida!!Estimate","Polk County, Florida!!Margin of Error"
"Total:","225,878","±6,320","63,133","±4,204","134,997","±5,696","85,019","±5,174"
"    Less than 10.0 percent","3,960","±1,078","1,282","±720","3,898","±1,340","1,650","±916"
"    10.0 to 14.9 percent","14,364","±2,468","6,424","±1,545","7,493","±1,498","5,279","±1,703"
"    15.0 to 19.9 percent","19,796","±3,053","5,496","±1,307","12,169","±1,934","8,384","±1,911"
"    20.0 to 24.9 percent","27,088","±3,724","7,089","±1,895","13,499","±1,987","8,354","±1,937"
"    25.0 to 29.9 percent","25,893","±3,239","5,880","±1,648","12,198","±2,035","9,693","±2,036"
"    30.0 to 34.9 percent","21,602","±2,727","5,998","±1,371","12,857","±2,158","7,279","±1,727"
"    35.0 to 39.9 percent","17,575","±2,796","3,640","±1,257","9,073","±1,729","5,648","±1,667"
"    40.0 to 49.9 percent","20,908","±3,867","7,724","±1,873","14,370","±2,477","8,830","±2,314"
"    50.0 percent or more","60,238","±5,678","16,226","±2,523","39,951","±3,470","20,847","±3,001"
"    Not computed","14,454","±2,480","3,374","±1,103","9,489","±1,973","9,055","±2,018"
