"Label (Grouping)","Hillsborough County, Florida!!Estimate","Hillsborough County, Florida!!Margin of Error","Pasco County, Florida!!Estimate","Pasco County, Florida!!Margin of Error","Pinellas County, Florida!!Estimate","Pinellas County, Florida!!Margin of Error","Polk County, Florida!!Estimate","Polk County, Florida!!Margin of Error"
"Total:","233,009","±5,935","54,444","±4,266","135,386","±5,487","87,860","±5,302"
"    Less than 10.0 percent","5,099","±1,511","1,574","±870","1,988","±668","1,917","±923"
"    10.0 to 14.9 percent","10,891","±2,334","4,108","±1,465","7,376","±1,781","3,275","±1,099"
"    15.0 to 19.9 percent","17,241","±2,711","5,533","±1,627","11,213","±2,060","8,438","±1,916"
"    20.0 to 24.9 percent","24,703","±3,480","6,112","±1,783","11,662","±1,847","9,473","±2,128"
"    25.0 to 29.9 percent","30,472","±4,049","4,790","±1,436","14,101","±2,029","9,892","±2,214"
"    30.0 to 34.9 percent","23,784","±3,404","6,065","±1,432","13,119","±2,193","10,342","±2,431"
"    35.0 to 39.9 percent","18,788","±2,749","3,925","±1,294","11,287","±2,192","6,309","±2,062"
"    40.0 to 49.9 percent","23,145","±3,825","5,825","±1,555","15,160","±2,292","9,224","±2,335"
"    50.0 percent or more","67,234","±4,994","12,909","±2,127","42,529","±3,419","22,893","±3,136"
"    Not computed","11,652","±2,351","3,603","±1,327","6,951","±1,529","6,097","±1,673"
