"Label (Grouping)","Hillsborough County, Florida!!Estimate","Hillsborough County, Florida!!Margin of Error","Pasco County, Florida!!Estimate","Pasco County, Florida!!Margin of Error","Pinellas County, Florida!!Estimate","Pinellas County, Florida!!Margin of Error","Polk County, Florida!!Estimate","Polk County, Florida!!Margin of Error"
"Total:","234,064","±7,785","62,171","±4,368","131,242","±5,568","87,285","±5,948"
"    Less than 10.0 percent","4,749","±1,695","1,333","±700","2,727","±996","2,278","±1,048"
"    10.0 to 14.9 percent","9,474","±2,149","2,486","±863","6,795","±1,842","6,228","±2,034"
"    15.0 to 19.9 percent","17,183","±2,688","6,576","±2,104","10,980","±2,087","8,929","±2,385"
"    20.0 to 24.9 percent","26,186","±3,947","7,283","±1,694","14,551","±2,215","11,520","±2,596"
"    25.0 to 29.9 percent","27,113","±4,200","6,508","±1,764","12,450","±2,213","8,580","±1,937"
"    30.0 to 34.9 percent","24,480","±3,332","5,045","±1,103","11,808","±1,983","8,240","±2,027"
"    35.0 to 39.9 percent","15,541","±2,596","3,437","±1,161","11,358","±2,473","7,897","±2,441"
"    40.0 to 49.9 percent","26,908","±3,725","7,938","±2,210","17,443","±2,919","7,323","±2,042"
"    50.0 percent or more","70,796","±5,347","17,396","±2,783","35,934","±3,710","22,667","±3,189"
"    Not computed","11,634","±2,653","4,169","±1,440","7,196","±1,430","3,623","±1,085"
