"Label (Grouping)","Hillsborough County, Florida!!Estimate","Hillsborough County, Florida!!Margin of Error","Pasco County, Florida!!Estimate","Pasco County, Florida!!Margin of Error","Pinellas County, Florida!!Estimate","Pinellas County, Florida!!Margin of Error","Polk County, Florida!!Estimate","Polk County, Florida!!Margin of Error"
"Total:","207,582","±6,089","52,132","±2,909","150,127","±5,115","68,672","±3,852"
"    Less than 10.0 percent","5,563","±1,263","1,013","±563","3,231","±848","1,577","±596"
"    10.0 to 14.9 percent","13,868","±2,201","3,767","±1,020","10,923","±1,913","4,058","±940"
"    15.0 to 19.9 percent","23,778","±2,568","4,739","±1,052","14,538","±2,128","9,253","±1,558"
"    20.0 to 24.9 percent","26,209","±2,307","6,783","±1,328","17,783","±2,061","6,117","±1,122"
"    25.0 to 29.9 percent","24,169","±2,846","5,971","±1,113","16,348","±2,046","6,559","±1,199"
"    30.0 to 34.9 percent","16,609","±2,053","4,498","±960","12,970","±2,062","7,137","±1,169"
"    35.0 to 39.9 percent","14,144","±2,055","3,247","±859","10,205","±1,999","4,310","±1,226"
"    40.0 to 49.9 percent","19,944","±2,544","5,621","±1,254","15,457","±1,969","5,530","±1,125"
"    50.0 percent or more","53,219","±3,760","12,643","±1,704","34,783","±2,793","17,850","±1,935"
"    Not computed","10,079","±1,809","3,850","±844","13,889","±2,267","6,281","±1,337"
