"Label (Grouping)","Hillsborough County, Florida!!Estimate","Hillsborough County, Florida!!Margin of Error","Pasco County, Florida!!Estimate","Pasco County, Florida!!Margin of Error","Pinellas County, Florida!!Estimate","Pinellas County, Florida!!Margin of Error","Polk County, Florida!!Estimate","Polk County, Florida!!Margin of Error"
"Total:","219,877","±3,090","56,077","±1,465","131,827","±2,567","73,584","±2,048"
"    Less than 10.0 percent","5,346","±658","1,475","±319","3,046","±559","2,051","±345"
"    10.0 to 14.9 percent","13,359","±967","3,370","±379","8,478","±706","5,356","±617"
"    15.0 to 19.9 percent","25,479","±1,396","6,531","±630","13,158","±815","8,432","±765"
"    20.0 to 24.9 percent","28,414","±1,570","7,108","±709","15,233","±1,084","8,774","±752"
"    25.0 to 29.9 percent","25,324","±1,496","6,760","±640","17,167","±1,151","9,001","±758"
"    30.0 to 34.9 percent","19,973","±1,266","4,785","±619","11,889","±895","5,880","±748"
"    35.0 to 39.9 percent","15,736","±1,315","4,004","±571","9,294","±787","4,956","±618"
"    40.0 to 49.9 percent","20,316","±1,242","5,524","±650","13,401","±1,034","6,500","±822"
"    50.0 percent or more","53,288","±2,291","13,029","±949","32,794","±1,533","16,662","±1,157"
"    Not computed","12,642","±1,009","3,491","±484","7,367","±623","5,972","±666"
