"Label (Grouping)","Hillsborough County, Florida!!Estimate","Hillsborough County, Florida!!Margin of Error","Pasco County, Florida!!Estimate","Pasco County, Florida!!Margin of Error","Pinellas County, Florida!!Estimate","Pinellas County, Florida!!Margin of Error","Polk County, Florida!!Estimate","Polk County, Florida!!Margin of Error"
"Total:","217,313","±5,170","53,471","±3,780","122,795","±5,369","73,140","±4,310"
"    Less than 10.0 percent","5,174","±1,259","1,557","±802","3,251","±934","2,620","±1,435"
"    10.0 to 14.9 percent","14,475","±2,281","2,717","±985","6,375","±1,375","5,865","±1,398"
"    15.0 to 19.9 percent","24,790","±2,845","7,458","±1,830","14,178","±2,020","7,878","±1,838"
"    20.0 to 24.9 percent","27,712","±3,058","5,819","±1,288","13,042","±2,669","8,324","±1,739"
"    25.0 to 29.9 percent","25,874","±2,755","5,370","±1,172","17,597","±2,131","7,560","±1,548"
"    30.0 to 34.9 percent","19,004","±2,572","3,610","±944","10,056","±1,517","6,057","±1,356"
"    35.0 to 39.9 percent","13,083","±1,983","4,293","±1,229","8,942","±1,352","5,454","±1,513"
"    40.0 to 49.9 percent","20,650","±3,078","7,750","±1,814","13,065","±2,407","4,998","±1,134"
"    50.0 percent or more","52,217","±3,492","11,731","±2,092","29,320","±2,538","17,888","±2,621"
"    Not computed","14,334","±2,471","3,166","±871","6,969","±1,451","6,496","±1,820"
