"Label (Grouping)","Hillsborough County, Florida!!Estimate","Hillsborough County, Florida!!Margin of Error","Pasco County, Florida!!Estimate","Pasco County, Florida!!Margin of Error","Pinellas County, Florida!!Estimate","Pinellas County, Florida!!Margin of Error","Polk County, Florida!!Estimate","Polk County, Florida!!Margin of Error"
"Total:","221,635","±5,958","55,068","±3,223","142,086","±4,995","72,676","±3,900"
"    Less than 10.0 percent","5,424","±1,188","1,085","±500","2,650","±785","2,753","±939"
"    10.0 to 14.9 percent","14,629","±2,394","3,824","±894","9,932","±1,900","4,667","±1,054"
"    15.0 to 19.9 percent","26,866","±2,799","5,100","±1,304","15,598","±2,152","9,644","±1,558"
"    20.0 to 24.9 percent","31,150","±3,438","7,149","±1,388","17,020","±2,350","10,126","±1,920"
"    25.0 to 29.9 percent","24,328","±2,617","6,194","±1,225","18,913","±2,523","8,441","±1,472"
"    30.0 to 34.9 percent","18,409","±2,547","5,130","±1,491","12,259","±1,730","5,272","±1,174"
"    35.0 to 39.9 percent","16,623","±2,125","4,581","±1,136","10,449","±1,814","4,169","±1,129"
"    40.0 to 49.9 percent","19,603","±2,316","4,785","±1,172","13,055","±1,757","5,586","±991"
"    50.0 percent or more","51,430","±3,470","13,659","±1,791","33,699","±2,883","16,640","±2,241"
"    Not computed","13,173","±2,080","3,561","±984","8,511","±1,691","5,378","±1,358"
