"Label (Grouping)","Hillsborough County, Florida!!Estimate","Hillsborough County, Florida!!Margin of Error","Pasco County, Florida!!Estimate","Pasco County, Florida!!Margin of Error","Pinellas County, Florida!!Estimate","Pinellas County, Florida!!Margin of Error","Polk County, Florida!!Estimate","Polk County, Florida!!Margin of Error"
"Total:","216,517","±4,856","57,800","±3,611","142,005","±5,481","74,703","±3,723"
"    Less than 10.0 percent","6,494","±1,634","929","±433","3,521","±955","1,826","±784"
"    10.0 to 14.9 percent","12,962","±2,001","3,931","±1,140","9,370","±1,760","5,521","±1,412"
"    15.0 to 19.9 percent","26,290","±2,672","6,873","±1,352","17,042","±2,251","7,322","±1,428"
"    20.0 to 24.9 percent","25,448","±3,054","6,816","±1,340","18,338","±2,142","8,993","±1,501"
"    25.0 to 29.9 percent","23,399","±2,580","6,200","±1,242","14,193","±1,976","7,755","±1,344"
"    30.0 to 34.9 percent","21,276","±2,469","4,286","±861","11,923","±1,909","7,407","±1,663"
"    35.0 to 39.9 percent","15,149","±1,780","5,018","±1,163","9,559","±1,580","4,680","±1,201"
"    40.0 to 49.9 percent","21,030","±2,928","5,841","±1,278","13,357","±1,754","7,329","±1,574"
"    50.0 percent or more","51,668","±3,811","12,801","±1,751","34,625","±3,061","17,543","±1,877"
"    Not computed","12,801","±1,651","5,105","±1,337","10,077","±1,761","6,327","±1,358"
